cell_id,projection,treatment,ahp,ap_peak,fr_at_20_percent_input,fr_at_40_percent_input,fr_at_60_percent_input,fr_at_max_input,half_width,i_amp_at_half_max_fr,input_resistance,io_slope,max_firing_rate,peak_to_trough,resting_membrane_potential,rheobase,rise_time,threshold
bla-bnstee001.adicht,bnst,enriched-environment,10.4265303751318,81.08424977836242,0.0,8.666666666666666,16.666666666666668,20.666666666666668,11.200000000000001,70.0,386.9791666666667,0.2611111111111111,23.333333333333332,16.3,-68.5,50.0,9.8,-29.573827540955147
bla-bnstee002.adicht,bnst,enriched-environment,6.7494593758058805,82.27535468187342,0.0,0.0,0.0,12.666666666666666,8.8,140.0,294.4661458333333,,12.666666666666666,19.900000000000002,-81.0,130.0,6.5,-29.915979681873356
bla-bnstee003.adicht,bnst,enriched-environment,23.910875741552154,101.93184686864504,0.0,0.0,2.0,18.0,7.9,110.0,173.17708333333334,0.2547619047619047,18.0,11.8,-69.0,90.0,6.5,-35.727696538704784
bla-bnstee004.adicht,bnst,enriched-environment,10.244313094045268,85.32633106550603,,,,,8.1,,135.28645833333334,,,16.8,-64.5,,6.2,-36.232581065505904
bla-bnstee005.adicht,bnst,enriched-environment,29.97564246119417,70.34374999999972,0.0,11.0,30.0,29.0,6.800000000000001,70.0,303.3203125,0.6942857142857144,40.0,11.3,-75.5,50.0,6.0,-43.84374999999969
bla-bnstee006.adicht,bnst,enriched-environment,46.26962324512914,77.63994533953081,2.0,13.333333333333334,22.0,34.0,4.9,70.0,514.84375,0.29939393939393927,34.0,9.1,-72.0,30.0,4.800000000000001,-38.37499999999967
bla-bnstee007.adicht,bnst,enriched-environment,31.509599714258528,85.34374999999972,0.0,1.3333333333333333,23.333333333333332,56.666666666666664,8.0,100.0,263.93229166666663,0.6044444444444443,56.666666666666664,11.600000000000001,-70.0,60.0,7.0,-37.43749999999969
bla-bnstee008.adicht,bnst,enriched-environment,28.743246577812656,95.07390562387609,0.0,2.0,10.666666666666666,21.333333333333332,6.6000000000000005,90.0,388.9322916666667,0.27380952380952367,21.333333333333332,10.3,-67.5,60.0,6.300000000000001,-41.024391804593364
bla-bnstee009.adicht,bnst,enriched-environment,10.221924802368918,65.79608506599064,,,,,10.700000000000001,,368.2291666666667,,,16.900000000000002,-73.5,,8.9,-33.06685883892546
bla-bnstee010.adicht,bnst,enriched-environment,14.028477867225249,93.11008372666835,0.0,0.0,8.0,17.333333333333332,9.9,90.0,342.578125,0.14888888888888885,17.333333333333332,15.200000000000001,-73.0,70.0,9.1,-33.03124999999976
