treatment,of_center_distance,of_center_time,of_center_entries,of_total_distance,of_immobility,ld_light_distance,ld_light_time,ld_light_entries,ld_total_distance,ld_immobility,tst_latency_to_immobility,tst_total_time_immobile
control,956,75.5,33,2741,128.2,1595,257.6,35,2376,163.4,60,185
control,1082,78.2,59,3213,146,1423,232.3,31,2120,168.4,80,190
control,747,53.9,36,3052,121.8,1227,157.1,27,2555,189.5,80,145
control,1253,83.4,60,3296,157.4,2324,319.5,37,2618,203.9,45,130
control,644,41.4,32,3027,148.6,2298,301.7,44,2678,214.6,55,190
control,1467,150.7,60,3090,149.3,1965,304,53,2544,181.3,50,165
control,555,52,29,2214,184.1,879,146.2,23,1810,213.7,75,190
control,825,60.9,40,2597,188.7,2381,316.1,39,2648,207.7,50,140
control,707,55,33,2677,164.7,1831,266.6,33,2201,207.5,60,165
cus,989,68.8,47,3108,303.9,766,133.3,17,1152,493.4,,
cus,1064,69.4,49,3350,310.3,42,8.3,1,890,523.6,,
cus,779,87.5,36,2179,391.4,669,99.9,14,1394,483.4,,
cus,890,111.9,50,2689,355.2,559,236.6,6,954,520.9,,
cus,474,52.6,20,1784,415.9,1150,172.5,23,1853,421.9,,
cus,0,0,0,322,581,1717,207,32,2551,350.9,,
cus,23,3.7,1,489,564.7,437,52,7,1230,490.2,,
cus,4,0.4,1,595,549.7,0,0,0,488,562.6,,
cus,430,32.6,23,1739,473.1,799,168.3,14,1477,459.1,,
cus,838,122.7,38,2075,381.8,1393,157.9,41,2381,350.7,5,275
cus,99,19.4,6,1237,435.8,1290,207,23,2060,396.2,10,285
cus,508,47.2,27,1985,392.6,1935,353,30,2256,357.6,10,255
cus,,,,,,,,,,,15,265
cus,,,,,,,,,,,5,285
cus,,,,,,,,,,,5,275
cus,,,,,,,,,,,5,245
cus,,,,,,,,,,,20,270
bnst-nac+,574,50.2,30,2403,191.8,1654,256.9,37,2226,195.8,85,120
bnst-nac+,2174,138.5,91,3890,122.8,1666,221.6,36,2324,163.2,45,85
bnst-nac+,456,37.5,18,2148,187.5,1046,139.9,28,2214,186.6,60,165
bnst-nac+,956,81.1,45,2726,155.7,2190,276.5,43,2840,139.6,30,160
bnst-nac+,1474,96.5,74,3860,91.9,1717,203.6,43,2640,159.2,40,140
bnst-nac+,351,36.4,25,1522,268.8,2427,231.4,42,3097,145.8,60,180
bnst-nac+,952,64.4,50,3110,119.5,1239,205.1,20,1855,235.7,50,175
bnst-nac+,574,50.1,30,2403,202.3,624,99.2,14,1183,309.8,80,105
bnst-nac+,2174,138.5,91,3890,138.3,725,135.1,18,1887,232.6,50,165
bnst-nac+,486,54.9,18,2115,241.8,1514,200.2,45,2279,183.5,50,155
bnst-nac+,1265,87.8,60,3515,158.1,1215,201.7,21,1922,234.4,40,85
bnst-nac+,751,131.3,22,1499,380.1,621,118.3,15,1227,328.3,20,195
bnst-nac+,259,26.7,20,2604,132.9,364,37.1,11,1680,218.6,25,180
bnst-nac+,249,85.7,11,982,471.4,,,,,,30,210
bnst-nac+,755,70.9,38,2636,189.4,995,146,24,1777,201.9,30,190
bnst-nac+,88,138.5,3,416,,,,,,,,
bnst-nac+,370,25.5,15,2192,,,,,,,,
bnst+nac-,223,45.9,8,1391,280.6,803,120.7,15,1692,266.4,25,215
bnst+nac-,636,57.4,31,1850,282.6,382,62.9,16,1372,281.6,10,230
bnst+nac-,1532,179.7,48,2266,213.8,623,110.1,17,1092,374.1,35,240
bnst+nac-,129,10.3,10,1105,360.4,1393,268.8,31,1865,229.8,30,215
bnst+nac-,231,19.2,11,1466,290.5,483,73.7,11,1120,352.9,25,260
bnst+nac-,804,75.4,38,2231,189.7,708,83.9,27,2219,198.2,10,270
bnst+nac-,536,42,34,2065,251,915,90.3,25,2039,217.3,35,210
bnst+nac-,540,41.7,27,1686,271,111,8.4,6,1011,388.7,20,270
bnst+nac-,672,60.3,26,1927,251.3,152,22.6,3,519,463,10,255
bnst+nac-,589,183.8,21,1618,284.3,452,61.5,11,1135,337.3,5,230
bnst+nac-,1153,126.6,49,2392,192.8,527,67.3,22,1637,249.4,10,255
