treatment,of_center_distance,of_center_time,of_center_entries,of_total_distance,of_immobility,ld_light_distance,ld_light_time,ld_light_entries,ld_total_distance,ld_immobility,tst_latency_to_immobility,tst_total_time_immobile
control,956,75.5,33,2741,125.4,1595,257.6,35,2376,179.8,60,185
control,1082,78.2,59,3213,142.3,1423,232.3,31,2120,254.6,80,190
control,747,53.9,36,3052,149,1227,157.1,27,2555,286.4,80,145
control,555,52,29,2214,139.8,879,146.2,23,1810,195.1,45,130
control,825,60.9,40,2597,143,2381,316.1,39,2648,178.4,55,190
control,707,55,33,2677,157.6,1650,233.4,30,2153,210.4,50,165
control,932,64.5,39,2721,,1630,293.6,29,2244,,75,190
control,719,37.1,40,2878,,1515,227.2,36,2412,,50,140
control,496,44.6,24,1660,,1119,194.4,21,1668,,60,165
control,168,30.1,5,1356,,1113,302.3,23,1600,,,
control,755,68.9,32,2840,,591,71.1,24,2489,,,
control,1157,82.7,54,3867,,1401,194.8,26,2360,,,
enriched-environment,939,62.5,42,2961,316.6,1792,293,44,2412,359.5,45,85
enriched-environment,968,45,48,3617,262.4,2310,300,50,2773,335.3,70,155
enriched-environment,872,47.5,42,2875,325.6,2062,327.2,34,2575,361.7,45,170
enriched-environment,1379,106.3,65,3373,300.2,1507,158,70,2332,358.9,35,205
enriched-environment,1372,75.1,66,3879,348.9,1420,254.3,31,2429,349.9,110,140
enriched-environment,929,78.3,48,2933,346.6,1656,208.1,46,2645,337.4,70,135
enriched-environment,1171,101.3,49,2709,144.6,2117,353.5,53,2790,194,,
enriched-environment,1416,83,69,3540,152.4,2150,306.4,46,2609,196,,
bnst+nac-,750,59.7,30,1877,382.4,458,59.6,13,1360,476.8,35,270
bnst+nac-,424,25.7,31,2586,387.1,662,95.8,24,1599,458.2,30,230
bnst+nac-,588,125.9,18,1441,435.9,1547,227.7,31,2110,407.1,25,235
bnst+nac-,1473,71.1,65,3618,264.1,1187,167.3,27,2091,393.4,15,265
bnst+nac-,755,76.1,38,2552,250.8,1899,245.9,49,2776,324.8,30,245
bnst+nac-,909,59.7,49,3255,220,621,170.3,8,907,406.7,,
bnst+nac-,254,17.3,9,1649,287.8,624,77.9,17,1379,314.2,,
bnst+nac-,330,20.4,16,1826,281.6,917,158.5,25,1653,284.1,,
bnst+nac-,273,12.9,15,1228,400.2,1804,267.9,35,2532,185.8,,
bnst+nac-,243,24.7,11,1179,343.3,1700,274,43,2405,219.3,,
bnst+nac-,259,13.8,16,1845,277.1,1455,215.6,33,1705,310.2,,
bnst-nac+,1815,112.5,76,3827,213.9,2804,310.2,53,3456,270.2,90,110
bnst-nac+,2368,281.7,68,3222,305.7,,,,,,55,140
bnst-nac+,1026,62.8,50,3004,289.9,1645,272,36,2428,318.4,50,130
bnst-nac+,1157,105.1,55,2883,314.4,1587,167.7,48,2817,329.8,40,160
bnst-nac+,1307,84.8,53,3210,454.6,1991,300.8,34,2281,384.9,160,110
bnst-nac+,571,36.6,28,3229,268.9,1036,109,38,2596,334.5,50,125
bnst-nac+,590,48.5,28,2387,179,1522,212.8,37,2464,175.3,,
bnst-nac+,911,58.6,54,3351,144.7,1576,219.8,26,2173,179.4,,
bnst-nac+,1327,173.5,43,2252,205.4,1231,260.7,26,1861,234.3,,
bnst-nac+,935,110.1,41,2139,223.4,1120,191.8,27,2049,244.9,,
bnst-nac+,1261,137.1,55,2770,288.4,1274,223.3,27,2177,190.7,,
