treatment,projection,file,amp,spike_frequency
control,nonspecific,controlbla001_4_26_21.adicht,10,0.0
control,nonspecific,controlbla001_4_26_21.adicht,20,0.0
control,nonspecific,controlbla001_4_26_21.adicht,30,0.0
control,nonspecific,controlbla001_4_26_21.adicht,40,0.0
control,nonspecific,controlbla001_4_26_21.adicht,50,0.0
control,nonspecific,controlbla001_4_26_21.adicht,60,0.0
control,nonspecific,controlbla001_4_26_21.adicht,70,2.0
control,nonspecific,controlbla001_4_26_21.adicht,80,8.0
control,nonspecific,controlbla001_4_26_21.adicht,90,12.0
control,nonspecific,controlbla001_4_26_21.adicht,100,16.0
control,nonspecific,controlbla001_4_26_21.adicht,110,20.0
control,nonspecific,controlbla001_4_26_21.adicht,120,22.0
control,nonspecific,controlbla001_4_26_21.adicht,130,26.0
control,nonspecific,controlbla001_4_26_21.adicht,140,30.0
control,nonspecific,controlbla001_4_26_21.adicht,150,32.0
control,nonspecific,controlbla002_4_26_21.adicht,10,0.0
control,nonspecific,controlbla002_4_26_21.adicht,20,0.0
control,nonspecific,controlbla002_4_26_21.adicht,30,0.0
control,nonspecific,controlbla002_4_26_21.adicht,40,2.0
control,nonspecific,controlbla002_4_26_21.adicht,50,6.0
control,nonspecific,controlbla002_4_26_21.adicht,60,6.0
control,nonspecific,controlbla002_4_26_21.adicht,70,12.0
control,nonspecific,controlbla002_4_26_21.adicht,80,12.0
control,nonspecific,controlbla002_4_26_21.adicht,90,10.0
control,nonspecific,controlbla002_4_26_21.adicht,100,14.0
control,nonspecific,controlbla002_4_26_21.adicht,110,10.0
control,nonspecific,controlbla002_4_26_21.adicht,120,12.0
control,nonspecific,controlbla002_4_26_21.adicht,130,10.0
control,nonspecific,controlbla002_4_26_21.adicht,140,14.0
control,nonspecific,controlbla002_4_26_21.adicht,150,8.0
control,nonspecific,controlbla003_4_26_21.adicht,10,0.0
control,nonspecific,controlbla003_4_26_21.adicht,20,0.0
control,nonspecific,controlbla003_4_26_21.adicht,30,0.0
control,nonspecific,controlbla003_4_26_21.adicht,40,0.0
control,nonspecific,controlbla003_4_26_21.adicht,50,2.0
control,nonspecific,controlbla003_4_26_21.adicht,60,4.0
control,nonspecific,controlbla003_4_26_21.adicht,70,4.0
control,nonspecific,controlbla003_4_26_21.adicht,80,6.0
control,nonspecific,controlbla003_4_26_21.adicht,90,12.0
control,nonspecific,controlbla003_4_26_21.adicht,100,14.0
control,nonspecific,controlbla003_4_26_21.adicht,110,18.0
control,nonspecific,controlbla003_4_26_21.adicht,120,20.0
control,nonspecific,controlbla003_4_26_21.adicht,130,22.0
control,nonspecific,controlbla003_4_26_21.adicht,140,24.0
control,nonspecific,controlbla003_4_26_21.adicht,150,24.0
control,nonspecific,controlbla004_4_26_21.adicht,10,0.0
control,nonspecific,controlbla004_4_26_21.adicht,20,0.0
control,nonspecific,controlbla004_4_26_21.adicht,30,0.0
control,nonspecific,controlbla004_4_26_21.adicht,40,2.0
control,nonspecific,controlbla004_4_26_21.adicht,50,2.0
control,nonspecific,controlbla004_4_26_21.adicht,60,10.0
control,nonspecific,controlbla004_4_26_21.adicht,70,16.0
control,nonspecific,controlbla004_4_26_21.adicht,80,16.0
control,nonspecific,controlbla004_4_26_21.adicht,90,14.0
control,nonspecific,controlbla004_4_26_21.adicht,100,14.0
control,nonspecific,controlbla004_4_26_21.adicht,110,8.0
control,nonspecific,controlbla004_4_26_21.adicht,120,10.0
control,nonspecific,controlbla004_4_26_21.adicht,130,8.0
control,nonspecific,controlbla004_4_26_21.adicht,140,8.0
control,nonspecific,controlbla004_4_26_21.adicht,150,6.0
control,nonspecific,controlbla007_5_6_21.adicht,10,0.0
control,nonspecific,controlbla007_5_6_21.adicht,20,0.0
control,nonspecific,controlbla007_5_6_21.adicht,30,0.0
control,nonspecific,controlbla007_5_6_21.adicht,40,0.0
control,nonspecific,controlbla007_5_6_21.adicht,50,0.0
control,nonspecific,controlbla007_5_6_21.adicht,60,2.0
