treatment,projection,file,time,mV
control,nonspecific,controlbla001_4_26_21.adicht,-20.0,-35.4375
control,nonspecific,controlbla001_4_26_21.adicht,-19.9,-35.43186789607419
control,nonspecific,controlbla001_4_26_21.adicht,-19.799999999999997,-35.428014351282826
control,nonspecific,controlbla001_4_26_21.adicht,-19.699999999999996,-35.42574174794434
control,nonspecific,controlbla001_4_26_21.adicht,-19.599999999999994,-35.42485246837711
control,nonspecific,controlbla001_4_26_21.adicht,-19.499999999999993,-35.42514889489953
control,nonspecific,controlbla001_4_26_21.adicht,-19.39999999999999,-35.426433409829976
control,nonspecific,controlbla001_4_26_21.adicht,-19.29999999999999,-35.42850839548685
control,nonspecific,controlbla001_4_26_21.adicht,-19.19999999999999,-35.431176234188555
control,nonspecific,controlbla001_4_26_21.adicht,-19.099999999999987,-35.434239308253474
control,nonspecific,controlbla001_4_26_21.adicht,-18.999999999999986,-35.4375
control,nonspecific,controlbla001_4_26_21.adicht,-18.899999999999984,-35.44076069174652
control,nonspecific,controlbla001_4_26_21.adicht,-18.799999999999983,-35.443823765811445
control,nonspecific,controlbla001_4_26_21.adicht,-18.69999999999998,-35.44649160451315
control,nonspecific,controlbla001_4_26_21.adicht,-18.59999999999998,-35.448566590170024
control,nonspecific,controlbla001_4_26_21.adicht,-18.49999999999998,-35.44985110510047
control,nonspecific,controlbla001_4_26_21.adicht,-18.399999999999977,-35.45014753162289
control,nonspecific,controlbla001_4_26_21.adicht,-18.299999999999976,-35.44925825205566
control,nonspecific,controlbla001_4_26_21.adicht,-18.199999999999974,-35.44698564871717
control,nonspecific,controlbla001_4_26_21.adicht,-18.099999999999973,-35.44313210392582
control,nonspecific,controlbla001_4_26_21.adicht,-17.99999999999997,-35.4375
control,nonspecific,controlbla001_4_26_21.adicht,-17.89999999999997,-35.42999558693971
control,nonspecific,controlbla001_4_26_21.adicht,-17.79999999999997,-35.42094058547139
control,nonspecific,controlbla001_4_26_21.adicht,-17.699999999999967,-35.410760584003064
control,nonspecific,controlbla001_4_26_21.adicht,-17.599999999999966,-35.399881170942784
control,nonspecific,controlbla001_4_26_21.adicht,-17.499999999999964,-35.38872793469857
control,nonspecific,controlbla001_4_26_21.adicht,-17.399999999999963,-35.37772646367848
control,nonspecific,controlbla001_4_26_21.adicht,-17.29999999999996,-35.367302346290536
control,nonspecific,controlbla001_4_26_21.adicht,-17.19999999999996,-35.35788117094278
control,nonspecific,controlbla001_4_26_21.adicht,-17.09999999999996,-35.34988852604325
control,nonspecific,controlbla001_4_26_21.adicht,-16.999999999999957,-35.34375
control,nonspecific,controlbla001_4_26_21.adicht,-16.899999999999956,-35.33975696049461
control,nonspecific,controlbla001_4_26_21.adicht,-16.799999999999955,-35.337663892303
control,nonspecific,controlbla001_4_26_21.adicht,-16.699999999999953,-35.33709105947459
control,nonspecific,controlbla001_4_26_21.adicht,-16.59999999999995,-35.33765872605885
control,nonspecific,controlbla001_4_26_21.adicht,-16.49999999999995,-35.33898715610524
control,nonspecific,controlbla001_4_26_21.adicht,-16.39999999999995,-35.340696613663205
